timestamp,health,primary_ammo,primary_in_mag,secondary_ammo,secondary_in_mag,prev_health_3s,enemy_shown,action_took
1747324980.7927544,82,10,52,10,50,100,1,change_secondary
1747324980.7927544,82,10,52,10,50,100,1,change_secondary
1747324981.7934961,82,8,52,10,50,100,1,change_primary
1747324982.794682,82,8,52,6,50,82,0,reload
1747324986.8089387,82,9,40,6,50,82,0,reload
1747324986.8089387,82,9,40,6,50,82,0,reload
1747324991.8510377,82,7,25,6,50,82,0,reload
1747324991.8510377,82,7,25,6,50,82,0,reload
1747325001.8767726,100,20,40,10,50,100,1,hold
1747325008.9013925,100,10,40,10,50,100,0,reload
1747325019.9626052,4294967286,17,27,10,50,100,0,hold
1747325021.9718304,4294967286,17,27,10,50,34,0,reload
1747325022.9736521,4294967286,17,27,10,50,4294967286,0,reload
1747325024.9768527,4294967286,17,27,10,50,4294967286,0,reload
1747325031.9985013,100,20,40,10,50,100,0,change_secondary
1747325031.9985013,100,20,40,10,50,100,0,change_secondary
1747325032.9994805,100,20,40,10,50,100,0,change_primary
1747325038.005642,100,16,40,10,50,100,0,reload
1747325049.0266652,100,4,60,10,50,100,0,hold
1747325054.037736,40,16,40,10,50,40,0,change_primary
1747325054.037736,40,16,40,10,50,40,0,change_primary
1747325059.059908,40,20,32,10,50,40,1,reload
1747325069.2209768,73,20,60,10,50,73,0,hold
1747325079.2401264,100,20,60,10,50,100,0,hold
1747325096.3317282,100,20,60,10,50,100,0,hold
1747325100.33654,100,20,60,10,50,100,0,hold
1747325103.3406515,100,20,60,10,50,100,0,change_primary
1747325104.3425825,100,20,60,10,50,100,0,change_secondary
1747325104.3425825,100,20,60,10,50,100,0,change_secondary
1747325104.3425825,100,20,60,10,50,100,0,change_primary
1747325104.3425825,100,20,60,10,50,100,0,change_primary
1747325105.343757,100,20,60,10,50,100,0,change_primary
1747325108.3601444,100,14,60,10,50,100,0,reload
1747325112.3687098,100,12,60,10,50,100,0,hold
1747325112.3687098,100,12,60,10,50,100,0,reload
1747325112.3687098,100,12,60,10,50,100,0,reload
1747325117.3761349,100,20,47,10,50,100,0,hold
1747325120.3823702,100,14,47,10,50,100,0,reload
1747325120.3823702,100,14,47,10,50,100,0,reload
1747325125.3913581,100,20,39,10,50,100,0,hold
1747325129.4056349,89,13,39,10,50,100,0,reload
1747325132.4096828,50,12,32,10,50,89,0,reload
1747325136.4207156,10,16,23,10,50,10,0,hold
1747325136.4207156,10,16,23,10,50,10,0,reload
1747325140.4385421,10,9,15,10,50,10,0,reload
1747325140.4385421,10,9,15,10,50,10,0,reload
1747325143.443459,100,20,40,10,50,10,0,change_secondary
1747325143.443459,100,20,40,10,50,10,0,change_secondary
1747325144.4469411,100,20,40,10,50,4294967285,0,change_primary
